**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
2/3/2023 3:30:00 AM	0.415	210	8.384	210	29.687	210	80.7	7.81	210	0.57	210	0.30	210	7.77	210	0.429	210			1023.05149	210	45.8	210	0.17	330	60.4	210	35.33	210	0.76	210		999	7.623	300		999	8.461	210	8.866	330	13.8	12.3		-0.935915	-0.888904		
2/3/2023 3:45:00 AM	0.411	210	8.384	210	29.685	210	80.7	7.81	210	0.61	210	0.28	210	7.77	210	0.432	210			1023.05025	210	45.1	210	0.17	330	62.3	210	294.22	210	0.04	210		999	7.621	300		999	8.462	210	8.863	330	13.8	12.4		-0.936048	-0.889020		
2/3/2023 4:00:00 AM	0.416	210	8.386	210	29.686	210	80.7	7.81	210	0.56	210	0.30	210	7.77	210	0.418	210			1023.05053	210	45.1	210	0.17	330	61.7	210	232.52	210	0.56	210		999	7.621	300		999	8.462	210	8.864	330	13.8	12.3		-0.936024	-0.888995		
2/3/2023 4:15:00 AM	0.416	210	8.390	210	29.689	210	80.7	7.81	210	0.60	210	0.29	210	7.77	210	0.418	210			1023.05261	210	46.2	210	0.17	330	66.7	210	266.09	210	0.36	210		999	7.621	300		999	8.462	210	8.864	330	13.8	12.3		-0.936011	-0.888983		
2/3/2023 4:30:00 AM	0.408	210	8.349	210	29.689	210	80.7	7.82	210	0.57	210	0.28	210	7.77	210	0.417	210			1023.05814	210	45.1	210	0.17	330	64.6	210	41.96	210	1.52	210		999	7.619	300		999	8.462	210	8.863	330	13.8	12.3		-0.936133	-0.889071		
2/3/2023 4:45:00 AM	0.394	210	8.397	210	29.694	210	80.5	7.79	210	0.57	210	0.29	210	7.77	210	0.432	210			1023.05552	210	45.6	210	0.17	330	70.0	210	313.75	210	1.75	210		999	7.618	300		999	8.468	210	8.861	330	13.8	12.4		-0.936194	-0.889152		
2/3/2023 5:00:00 AM	0.404	210	8.390	210	29.691	210	80.3	7.78	210	0.56	210	0.27	210	7.77	210	0.433	210			1023.05370	210	45.6	210	0.17	330	71.9	210	311.85	210	2.22	210		999	7.621	300		999	8.462	210	8.864	330	13.8	12.3		-0.936006	-0.888976		
2/3/2023 5:15:00 AM	0.411	210	8.392	210	29.691	210	80.4	7.78	210	0.61	210	0.28	210	7.77	210	0.433	210			1023.05348	210	45.5	210	0.17	330	71.7	210	255.55	210	3.76	210		999	7.619	300		999	8.464	210	8.862	330	13.8	12.3		-0.936165	-0.889111		
2/3/2023 5:30:00 AM	0.404	210	8.382	210	29.691	210	80.5	7.80	210	0.54	210	0.28	210	7.77	210	0.432	210			1023.05509	210	44.9	210	0.17	330	69.1	210	271.05	210	2.42	210		999	7.619	300		999	8.457	210	8.862	330	13.8	12.4		-0.936121	-0.889097		
2/3/2023 5:45:00 AM	0.406	210	8.397	210	29.695	210	80.5	7.78	210	0.56	210	0.29	210	7.77	210	0.428	210			1023.05599	210	44.9	210	0.17	330	65.9	210	246.74	210	1.20	210		999	7.622	300		999	8.465	210	8.865	330	13.8	12.3		-0.935962	-0.888944		
2/3/2023 6:00:00 AM	0.399	210	8.400	210	29.696	210	80.3	7.76	210	0.52	210	0.27	210	7.77	210	0.412	210			1023.05616	210	44.9	210	0.17	330	63.8	210	240.29	210	1.21	210		999	7.622	300		999	8.468	210	8.864	330	13.8	12.4		-0.935980	-0.888975		
2/3/2023 6:15:00 AM	0.390	210	8.412	210	29.699	210	80.4	7.77	210	0.56	210	0.29	210	7.77	210	0.433	210			1023.05693	210	44.7	210	0.17	330	70.4	210	42.29	210	2.12	210		999	7.623	300		999	8.476	210	8.865	330	13.8	12.4		-0.935929	-0.888938		
2/3/2023 6:30:00 AM	0.386	210	8.378	210	29.696	210	80.3	7.78	210	0.51	210	0.29	210	7.77	210	0.430	210			1023.06002	210	44.7	210	0.17	330	69.4	210	110.99	210	0.43	210		999	7.622	300		999	8.457	210	8.865	330	13.8	12.3		-0.935959	-0.888957		
2/3/2023 6:45:00 AM	0.403	210	8.375	210	29.706	210	80.5	7.80	210	0.54	210	0.29	210	7.77	210	0.427	210			1023.06753	210	44.9	210	0.17	330	69.1	210	148.83	210	0.44	210		999	7.623	300		999	8.458	210	8.866	330	13.8	12.3		-0.935902	-0.888888		
2/3/2023 7:00:00 AM	0.392	210	8.379	210	29.696	210	80.6	7.80	210	0.52	210	0.29	210	7.77	210	0.426	210			1023.05924	210	44.7	210	0.17	330	67.7	210	325.87	210	0.21	210		999	7.624	300		999	8.464	210	8.867	330	13.8	12.4		-0.935869	-0.888851		
2/3/2023 7:15:00 AM	0.399	210	8.384	210	29.697	210	80.6	7.80	210	0.58	210	0.29	210	7.77	210	0.440	210			1023.05976	210	44.6	210	0.42	330	68.7	210	152.61	210	1.25	210		999	7.625	300		999	8.461	210	8.868	330	13.8	12.3		-0.935814	-0.888792		
2/3/2023 7:30:00 AM	0.388	210	8.405	210	29.707	210	80.4	7.77	210	0.50	210	0.31	210	7.77	210	0.421	210			1023.06471	210	45.1	210	1.66	210	67.0	210	147.13	210	4.11	210		999	7.622	300		999	8.479	210	8.865	330	13.8	12.3		-0.935942	-0.888936		
2/3/2023 7:45:00 AM	0.412	210	8.426	210	29.720	210	80.1	7.75	210	0.52	210	0.30	210	7.77	210	0.428	210			1023.07164	210	45.6	210	5.13	210	72.5	210	167.85	210	6.69	210		999	7.621	300		999	8.497	210	8.864	330	13.8	12.3		-0.936033	-0.888984		
2/3/2023 8:00:00 AM	0.401	210	8.410	210	29.718	210	80.5	7.79	210	0.50	210	0.31	210	7.77	210	0.426	210			1023.07218	210	45.3	210	10.19	210	68.8	210	167.96	210	6.01	210		999	7.623	300		999	8.493	210	8.866	330	13.8	12.3		-0.935910	-0.888873		
2/3/2023 8:15:00 AM	0.417	210	8.428	210	29.720	210	80.4	7.77	210	0.52	210	0.32	210	7.77	210	0.436	210			1023.07125	210	45.1	210	19.64	210	72.3	210	156.37	210	7.17	210		999	7.623	300		999	8.496	210	8.865	330	13.8	12.3		-0.935904	-0.888899		
2/3/2023 8:30:00 AM	0.426	210	8.416	210	29.722	210	80.5	7.79	210	0.50	210	0.32	210	7.77	210	0.425	210			1023.07458	210	44.7	210	48.06	210	71.1	210	163.44	210	7.38	210		999	7.623	300		999	8.497	210	8.865	330	13.8	12.3		-0.935915	-0.888906		
2/3/2023 8:45:00 AM	0.457	210	8.432	210	29.711	210	80.5	7.78	210	0.53	210	0.31	210	7.77	210	0.430	210			1023.06458	210	44.9	210	75.52	210	69.1	210	161.85	210	6.94	210		999	7.622	300		999	8.494	210	8.865	330	13.8	12.4		-0.935941	-0.888900		
2/3/2023 9:00:00 AM	0.424	210	8.419	210	29.706	210	80.5	7.79	210	0.50	210	0.31	210	7.77	210	0.420	210			1023.06177	210	44.7	210	112.57	210	62.8	210	142.09	210	2.49	210		999	7.622	300		999	8.506	210	8.864	330	13.8	12.3		-0.935939	-0.888946		
2/3/2023 9:15:00 AM	0.393	210	8.432	210	29.712	210	80.4	7.77	210	0.47	210	0.31	210	7.77	210	0.435	210			1023.06404	210	45.1	210	161.93	210	60.3	210	157.24	210	2.51	210		999	7.622	300		999	8.500	210	8.865	330	13.8	12.4		-0.935956	-0.888927		
2/3/2023 9:30:00 AM	0.388	210	8.415	210	29.707	210	80.5	7.79	210	0.46	210	0.31	210	7.77	210	0.426	210			1023.06313	210	45.5	210	179.65	210	58.9	210	162.72	210	3.07	210		999	7.622	300		999	8.497	210	8.865	330	13.8	12.4		-0.935987	-0.888936		
2/3/2023 9:45:00 AM	0.371	210	8.411	210	29.708	210	80.6	7.80	210	0.50	210	0.30	210	7.77	210	0.431	210			1023.06425	210	45.8	210	182.49	210	60.2	210	158.52	210	5.07	210		999	7.624	300		999	8.488	210	8.866	330	13.8	12.5		-0.935870	-0.888843		
2/3/2023 10:00:00 AM	0.400	210	8.432	210	29.712	210	80.5	7.78	210	0.49	210	0.30	210	7.77	210	0.442	210			1023.06471	210	46.2	210	123.17	210	57.1	210	163.26	210	5.41	210		999	7.624	300		999	8.503	210	8.866	330	13.8	12.4		-0.935874	-0.888852		
2/3/2023 10:15:00 AM	0.395	210	8.441	210	29.722	210	80.4	7.77	210	0.51	210	0.30	210	7.77	210	0.431	210			1023.07120	210	46.0	210	92.08	210	60.4	210	168.54	210	4.60	210		999	7.622	300		999	8.503	210	8.865	330	13.8	12.4		-0.935947	-0.888926		
2/3/2023 10:30:00 AM	0.402	210	8.452	210	29.731	210	79.9	7.72	210	0.46	210	0.33	210	7.77	210	0.422	210			1023.07644	210	46.0	210	69.44	210	59.5	210	173.44	210	4.62	210		999	7.621	300		999	8.512	210	8.862	330	13.8	12.4		-0.936005	-0.889074		
2/3/2023 10:45:00 AM	0.416	210	8.431	210	29.715	210	80.4	7.77	210	0.54	210	0.28	210	7.77	210	0.415	210			1023.06639	210	46.0	210	80.34	210	56.6	210	134.25	210	1.47	210		999	7.622	300		999	8.506	210	8.864	330	13.8	12.4		-0.935981	-0.888963		
2/3/2023 11:00:00 AM	0.390	210	8.428	210	29.711	210	80.5	7.79	210	0.53	210	0.29	210	7.77	210	0.442	210			1023.06432	210	46.7	210	75.78	210	54.4	210	164.57	210	1.72	210		999	7.623	300		999	8.500	210	8.866	330	13.8	12.3		-0.935882	-0.888861		
2/3/2023 11:15:00 AM	0.423	210	8.450	210	29.720	210	80.2	7.75	210	0.54	210	0.30	210	7.77	210	0.442	210			1023.06766	210	46.9	210	64.64	210	51.9	210	151.64	210	0.47	210		999	7.622	300		999	8.511	210	8.864	330	13.8	12.3		-0.935977	-0.888969		
2/3/2023 11:30:00 AM	0.418	210	8.434	210	29.711	210	80.3	7.76	210	0.52	210	0.31	210	7.77	210	0.434	210			1023.06355	210	46.9	210	62.94	210	59.0	210	147.26	210	3.13	210		999	7.621	300		999	8.505	210	8.864	330	13.8	12.4		-0.936007	-0.888956		
2/3/2023 11:45:00 AM	0.413	210	8.434	210	29.711	210	80.5	7.78	210	0.57	210	0.28	210	7.77	210	0.433	210			1023.06301	210	47.4	210	70.04	210	56.4	210	156.56	210	5.40	210		999	7.622	300		999	8.503	210	8.864	330	13.8	12.3		-0.935964	-0.888954		
2/3/2023 12:00:00 PM	0.421	210	8.426	210	29.707	210	80.6	7.79	210	0.54	210	0.30	210	7.77	210	0.430	210			1023.06115	210	47.3	210	98.46	210	57.0	210	137.18	210	4.10	210		999	7.622	300		999	8.500	210	8.864	330	13.8	12.4		-0.935988	-0.888969		
2/3/2023 12:15:00 PM	0.408	210	8.416	210	29.707	210	80.7	7.80	210	0.56	210	0.29	210	7.77	210	0.425	210			1023.06321	210	48.5	210	146.52	210	59.4	210	139.26	210	4.80	210		999	7.621	300		999	8.492	210	8.864	330	13.8	12.4		-0.936006	-0.888962		
2/3/2023 12:30:00 PM	0.412	210	8.419	210	29.709	210	80.8	7.81	210	0.54	210	0.30	210	7.77	210	0.431	210			1023.06403	210	50.0	210	152.62	210	59.1	210	158.55	210	8.56	210		999	7.624	300		999	8.491	210	8.865	330	13.8	12.4		-0.935866	-0.888906		
2/3/2023 12:45:00 PM	0.430	210	8.427	210	29.712	210	80.9	7.82	210	0.55	210	0.31	210	7.77	210	0.295	210			1023.06525	210	50.9	210	169.25	210	62.1	210	163.88	210	10.29	210		999	7.626	300		999	8.497	210	8.868	330	13.8	12.4		-0.935755	-0.888747		
2/3/2023 1:00:00 PM	0.352	210	8.434	210	29.713	210	80.8	7.81	210	0.49	210	0.31	210	7.77	210	0.432	210			1023.06459	210	50.7	210	204.05	210	62.5	210	167.66	210	11.66	210		999	7.625	300		999	8.503	210	8.867	330	13.8	12.4		-0.935797	-0.888823		
2/3/2023 1:15:00 PM	0.433	210	8.435	210	29.712	210	80.8	7.81	210	0.50	210	0.30	210	7.77	210	0.424	210			1023.06425	210	50.7	210	210.07	210	62.0	210	168.59	210	10.42	210		999	7.625	300		999	8.503	210	8.868	330	13.8	12.4		-0.935794	-0.888733		
2/3/2023 1:30:00 PM	0.457	210	8.437	210	29.712	210	80.8	7.81	210	0.46	210	0.31	210	7.77	210	0.434	210			1023.06466	210	50.7	210	209.26	210	63.1	210	173.32	210	10.48	210		999	7.625	300		999	8.505	210	8.867	330	13.8	12.5		-0.935812	-0.888785		
2/3/2023 1:45:00 PM	0.452	210	8.437	210	29.714	210	80.7	7.80	210	0.52	210	0.30	210	7.77	210	0.427	210			1023.06599	210	50.9	210	99.28	210	62.9	210	175.31	210	11.75	210		999	7.625	300		999	8.508	210	8.865	330	13.8	12.4		-0.935822	-0.888878		
2/3/2023 2:00:00 PM	0.435	210	8.436	210	29.713	210	80.7	7.80	210	0.49	210	0.31	210	7.77	210	0.429	210			1023.06476	210	50.5	210	108.58	210	63.8	210	177.64	210	9.78	210		999	7.624	300		999	8.506	210	8.866	330	13.8	12.4		-0.935850	-0.888870		
2/3/2023 2:15:00 PM	0.424	210	8.431	210	29.712	210	80.9	7.82	210	0.54	210	0.31	210	7.77	210	0.429	210			1023.06441	210	50.7	210	116.76	210	63.7	210	175.53	210	12.48	210		999	7.626	300		999	8.503	210	8.867	330	13.8	12.4		-0.935739	-0.888784		
2/3/2023 2:30:00 PM	0.427	210	8.411	210	29.706	210	81.5	7.89	210	0.51	210	0.31	210	7.77	210	0.425	210			1023.06283	210	50.5	210	135.95	210	64.1	210	177.78	210	11.31	210		999	7.629	300		999	8.482	210	8.871	330	13.8	12.4		-0.935558	-0.888589		
2/3/2023 2:45:00 PM	0.418	210	8.421	210	29.709	210	81.1	7.84	210	0.54	210	0.30	210	7.77	210	0.421	210			1023.06333	210	50.1	210	123.58	210	64.3	210	181.26	210	13.12	210		999	7.628	300		999	8.494	210	8.869	330	13.8	12.4		-0.935658	-0.888671		
2/3/2023 3:00:00 PM	0.512	210	8.415	210	29.706	210	81.4	7.87	210	0.54	210	0.31	210	7.77	210	0.414	210			1023.06316	210	49.6	210	70.58	210	68.8	210	183.70	210	11.98	210		999	7.629	300		999	8.488	210	8.870	330	13.8	12.4		-0.935580	-0.888665		
2/3/2023 3:15:00 PM	0.457	210	8.413	210	29.704	210	81.5	7.89	210	0.58	210	0.29	210	7.77	210	0.423	210			1023.06168	210	49.6	210	103.22	210	71.9	210	176.46	210	10.20	210		999	7.629	300		999	8.486	210	8.869	330	13.8	12.4		-0.935574	-0.888675		
2/3/2023 3:30:00 PM	0.361	210	8.410	210	29.703	210	81.7	7.91	210	0.56	210	0.32	210	7.77	210	0.415	210			1023.06078	210	50.0	210	66.68	210	68.1	210	182.79	210	13.75	210		999	7.630	300		999	8.483	210	8.871	330	13.8	12.4		-0.935533	-0.888581		
2/3/2023 3:45:00 PM	0.565	210	8.406	210	29.702	210	81.7	7.90	210	0.58	210	0.30	210	7.77	210	0.416	210			1023.06157	210	49.8	210	34.45	210	70.1	210	177.95	210	11.07	210		999	7.631	300		999	8.478	210	8.872	330	13.8	12.4		-0.935493	-0.888513		
