**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
2/20/2023 3:30:00 AM	0.485	210	8.426	210	29.713	210	80.7	7.80	210	0.46	210	0.49	210	7.80	210	0.429	210			1023.06727	210	48.5	210	0.17	330	78.6	210	175.75	210	6.22	210		999	7.597	300		999	8.497	210	8.842	330	13.8	12.4		-0.937388	-0.890224		
2/20/2023 3:45:00 AM	0.553	210	8.423	210	29.712	210	80.7	7.81	210	0.50	210	0.49	210	7.80	210	0.428	210			1023.06660	210	48.5	210	0.17	330	78.1	210	178.49	210	7.16	210		999	7.596	300		999	8.496	210	8.842	330	13.8	12.4		-0.937430	-0.890201		
2/20/2023 4:00:00 AM	0.533	210	8.420	210	29.709	210	81.1	7.84	210	0.47	210	0.45	210	7.80	210	0.426	210			1023.06448	210	48.5	210	0.17	330	78.0	210	167.61	210	6.32	210		999	7.595	300		999	8.493	210	8.840	330	13.8	12.4		-0.937464	-0.890294		
2/20/2023 4:15:00 AM	0.531	210	8.421	210	29.710	210	81.2	7.85	210	0.51	210	0.45	210	7.80	210	0.408	210			1023.06555	210	48.5	210	0.17	330	78.2	210	173.96	210	6.93	210		999	7.599	300		999	8.491	210	8.844	330	13.8	12.4		-0.937263	-0.890092		
2/20/2023 4:30:00 AM	0.518	210	8.422	210	29.709	210	81.0	7.83	210	0.47	210	0.47	210	7.80	210	0.438	210			1023.06492	210	48.5	210	0.17	330	78.7	210	172.02	210	6.27	210		999	7.602	300		999	8.494	210	8.847	330	13.8	12.4		-0.937081	-0.889896		
2/20/2023 4:45:00 AM	0.527	210	8.421	210	29.708	210	81.1	7.84	210	0.51	210	0.44	210	7.80	210	0.425	210			1023.06363	210	48.3	210	0.17	330	79.2	210	173.17	210	7.61	210		999	7.602	300		999	8.494	210	8.847	330	13.8	12.4		-0.937104	-0.889919		
2/20/2023 5:00:00 AM	0.549	210	8.420	210	29.707	210	81.2	7.86	210	0.46	210	0.46	210	7.80	210	0.429	210			1023.06341	210	48.3	210	0.17	330	78.8	210	173.66	210	6.98	210		999	7.600	300		999	8.492	210	8.845	330	13.8	12.4		-0.937173	-0.890054		
2/20/2023 5:15:00 AM	0.535	210	8.421	210	29.710	210	81.1	7.84	210	0.50	210	0.46	210	7.80	210	0.429	210			1023.06532	210	48.5	210	0.17	330	79.3	210	167.25	210	7.23	210		999	7.605	300		999	8.491	210	8.850	330	13.8	12.4		-0.936933	-0.889741		
2/20/2023 5:30:00 AM	0.508	210	8.421	210	29.708	210	81.1	7.84	210	0.47	210	0.45	210	7.80	210	0.414	210			1023.06366	210	48.5	210	0.17	330	79.0	210	179.42	210	6.71	210		999	7.602	300		999	8.491	210	8.847	330	13.8	12.3		-0.937092	-0.889945		
2/20/2023 5:45:00 AM	0.532	210	8.422	210	29.707	210	81.2	7.85	210	0.51	210	0.46	210	7.80	210	0.425	210			1023.06316	210	48.3	210	0.17	330	79.9	210	168.63	210	7.07	210		999	7.603	300		999	8.494	210	8.848	330	13.8	12.4		-0.937026	-0.889843		
2/20/2023 6:00:00 AM	0.552	210	8.420	210	29.707	210	81.3	7.86	210	0.47	210	0.44	210	7.80	210	0.423	210			1023.06286	210	48.3	210	0.17	330	79.5	210	171.07	210	8.09	210		999	7.600	300		999	8.493	210	8.845	330	13.8	12.3		-0.937212	-0.890057		
2/20/2023 6:15:00 AM	0.520	210	8.412	210	29.714	210	81.3	7.87	210	0.53	210	0.47	210	7.81	210	0.420	210			1023.06943	210	48.3	210	0.17	330	79.2	210	171.88	210	7.70	210		999	7.599	300		999	8.486	210	8.844	330	13.8	12.4		-0.937258	-0.890098		
2/20/2023 6:30:00 AM	0.535	210	8.417	210	29.706	210	81.6	7.89	210	0.48	210	0.44	210	7.81	210	0.426	210			1023.06303	210	48.3	210	0.17	330	79.2	210	176.07	210	7.41	210		999	7.601	300		999	8.487	210	8.847	330	13.8	12.3		-0.937166	-0.889956		
2/20/2023 6:45:00 AM	0.535	210	8.418	210	29.706	210	81.7	7.90	210	0.51	210	0.43	210	7.81	210	0.420	210			1023.06253	210	48.3	210	0.19	330	79.8	210	169.08	210	7.50	210		999	7.600	300		999	8.488	210	8.846	330	13.8	12.4		-0.937182	-0.889995		
2/20/2023 7:00:00 AM	0.540	210	8.419	210	29.707	210	81.5	7.88	210	0.49	210	0.45	210	7.81	210	0.427	210			1023.06351	210	48.5	210	0.92	330	79.3	210	178.76	210	7.04	210		999	7.600	300		999	8.488	210	8.845	330	13.8	12.4		-0.937223	-0.890021		
2/20/2023 7:15:00 AM	0.511	210	8.419	210	29.709	210	81.4	7.87	210	0.52	210	0.45	210	7.81	210	0.418	210			1023.06529	210	48.5	210	3.41	210	79.0	210	179.65	210	8.87	210		999	7.601	300		999	8.491	210	8.847	330	13.8	12.3		-0.937134	-0.889925		
2/20/2023 7:30:00 AM	0.510	210	8.421	210	29.711	210	81.1	7.84	210	0.48	210	0.46	210	7.80	210	0.427	210			1023.06619	210	48.5	210	8.39	210	78.8	210	177.37	210	6.39	210		999	7.597	300		999	8.491	210	8.843	330	13.8	12.4		-0.937358	-0.890130		
2/20/2023 7:45:00 AM	0.561	210	8.418	210	29.711	210	81.3	7.86	210	0.52	210	0.45	210	7.81	210	0.419	210			1023.06676	210	48.5	210	17.15	210	79.0	210	176.29	210	5.74	210		999	7.595	300		999	8.491	210	8.841	330	13.8	12.4		-0.937472	-0.890247		
2/20/2023 8:00:00 AM	0.554	210	8.418	210	29.712	210	81.3	7.86	210	0.49	210	0.46	210	7.81	210	0.415	210			1023.06752	210	48.5	210	32.10	210	79.0	210	175.58	210	7.39	210		999	7.585	300		999	8.491	210	8.832	330	13.8	12.4		-0.938025	-0.890777		
2/20/2023 8:15:00 AM	0.524	210	8.418	210	29.710	210	81.5	7.88	210	0.54	210	0.45	210	7.81	210	0.425	210			1023.06584	210	48.5	210	59.59	210	78.6	210	183.58	210	7.28	210		999	7.589	300		999	8.489	210	8.835	330	13.8	12.4		-0.937838	-0.890624		
2/20/2023 8:30:00 AM	0.520	210	8.402	210	29.705	210	81.9	7.93	210	0.51	210	0.44	210	7.81	210	0.427	210			1023.06420	210	48.3	210	63.31	210	79.0	210	183.56	210	7.34	210		999	7.594	300		999	8.478	210	8.840	330	13.8	12.4		-0.937526	-0.890326		
2/20/2023 8:45:00 AM	0.535	210	8.377	210	29.700	210	82.6	7.99	210	0.60	210	0.41	210	7.81	210	0.418	210			1023.06363	210	48.3	210	38.34	210	79.8	210	172.65	210	7.83	210		999	7.619	300		999	8.462	210	8.864	330	13.8	12.4		-0.936158	-0.888973		
2/20/2023 9:00:00 AM	0.545	210	8.369	210	29.690	210	82.8	8.01	210	0.61	210	0.39	210	7.82	210	0.409	210			1023.05747	210	48.3	210	58.66	210	78.8	210	182.55	210	7.38	210		999	7.618	300		999	8.463	210	8.864	330	13.8	12.4		-0.936185	-0.889000		
2/20/2023 9:15:00 AM	0.553	210	8.375	210	29.702	210	83.2	8.05	210	0.61	210	0.37	210	7.82	210	0.425	210			1023.06532	210	48.5	210	44.87	210	78.7	210	169.39	210	6.68	210		999	7.627	300		999	8.447	210	8.873	330	13.8	12.4		-0.935684	-0.888483		
2/20/2023 9:30:00 AM	0.554	210	8.359	210	29.679	210	83.8	8.12	210	0.67	210	0.36	210	7.82	210	0.425	210			1023.05022	210	48.5	210	69.83	210	78.6	210	174.46	210	7.75	210		999	7.630	300		999	8.438	210	8.875	330	13.8	12.4		-0.935555	-0.888412		
2/20/2023 9:45:00 AM	0.508	210	8.358	210	29.677	210	84.1	8.15	210	0.72	210	0.36	210	7.82	210	0.424	210			1023.04815	210	48.5	210	124.78	210	77.7	210	183.99	210	9.46	210		999	7.633	300		999	8.433	210	8.878	330	13.8	12.4		-0.935379	-0.888223		
2/20/2023 10:00:00 AM	0.514	210	8.361	210	29.682	210	84.2	8.15	210	0.56	210	0.36	210	7.82	210	0.435	210			1023.05173	210	48.7	210	192.51	210	77.4	210	173.98	210	10.78	210		999	7.633	300		999	8.435	210	8.878	330	13.8	12.4		-0.935350	-0.888202		
2/20/2023 10:15:00 AM	0.512	210	8.375	210	29.699	210	83.5	8.08	210	0.64	210	0.37	210	7.82	210	0.420	210			1023.06337	210	48.9	210	84.88	210	76.8	210	181.92	210	11.15	210		999	7.632	300		999	8.440	210	8.878	330	13.8	12.4		-0.935401	-0.888241		
2/20/2023 10:30:00 AM	0.534	210	8.388	210	29.705	210	82.9	8.02	210	0.56	210	0.41	210	7.82	210	0.430	210			1023.06662	210	48.7	210	131.02	210	78.0	210	177.85	210	9.28	210		999	7.626	300		999	8.453	210	8.872	330	13.8	12.5		-0.935773	-0.888572		
2/20/2023 10:45:00 AM	0.522	210	8.390	210	29.709	210	82.6	8.00	210	0.54	210	0.41	210	7.81	210	0.429	210			1023.06917	210	48.3	210	200.12	210	78.2	210	169.47	210	10.36	210		999	7.622	300		999	8.456	210	8.867	330	13.8	12.4		-0.935969	-0.888816		
2/20/2023 11:00:00 AM	0.565	210	8.382	210	29.707	210	82.9	8.02	210	0.50	210	0.39	210	7.82	210	0.430	210			1023.06868	210	48.3	210	208.20	210	78.8	210	164.79	210	9.90	210		999	7.617	300		999	8.456	210	8.863	330	13.8	12.5		-0.936236	-0.889053		
2/20/2023 11:15:00 AM	0.535	210	8.384	210	29.709	210	82.8	8.01	210	0.55	210	0.39	210	7.82	210	0.429	210			1023.06980	210	48.5	210	204.80	210	77.7	210	171.13	210	9.08	210		999	7.616	300		999	8.453	210	8.861	330	13.8	12.5		-0.936319	-0.889156		
2/20/2023 11:30:00 AM	0.540	210	8.389	210	29.713	210	82.7	8.01	210	0.52	210	0.41	210	7.82	210	0.428	210			1023.07215	210	48.7	210	158.32	210	76.9	210	175.97	210	7.87	210		999	7.607	300		999	8.457	210	8.853	330	13.8	12.5		-0.936793	-0.889598		
2/20/2023 11:45:00 AM	0.470	210	8.393	210	29.716	210	82.8	8.01	210	0.49	210	0.41	210	7.82	210	0.417	210			1023.07383	210	48.7	210	278.74	210	76.8	210	170.60	210	9.45	210		999	7.607	300		999	8.462	210	8.853	330	13.8	12.5		-0.936805	-0.889620		
2/20/2023 12:00:00 PM	0.482	210	8.397	210	29.719	210	82.7	8.00	210	0.50	210	0.42	210	7.82	210	0.414	210			1023.07554	210	48.9	210	246.43	210	76.3	210	180.81	210	10.83	210		999	7.615	300		999	8.464	210	8.861	330	13.8	12.6		-0.936363	-0.889188		
2/20/2023 12:15:00 PM	0.490	210	8.397	210	29.717	210	82.3	7.96	210	0.57	210	0.43	210	7.81	210	0.422	210			1023.07423	210	48.7	210	142.13	210	77.2	210	169.91	210	9.95	210		999	7.617	300		999	8.467	210	8.863	330	13.8	12.6		-0.936236	-0.889084		
2/20/2023 12:30:00 PM	0.480	210	8.400	210	29.718	210	82.4	7.97	210	0.54	210	0.46	210	7.81	210	0.417	210			1023.07433	210	48.7	210	147.48	210	77.3	210	178.96	210	9.75	210		999	7.614	300		999	8.468	210	8.860	330	13.8	12.5		-0.936424	-0.889244		
2/20/2023 12:45:00 PM	0.464	210	8.422	210	29.724	210	82.2	7.95	210	0.48	210	0.46	210	7.81	210	0.429	210			1023.07611	210	48.9	210	225.59	210	76.8	210	185.84	210	12.52	210		999	7.617	300		999	8.485	210	8.862	330	13.8	12.5		-0.936270	-0.889125		
2/20/2023 1:00:00 PM	0.334	210	8.427	210	29.715	210	82.5	7.98	210	0.49	210	0.46	210	7.81	210	0.430	210			1023.06758	210	48.7	210	206.55	210	78.6	210	188.50	210	13.80	210		999	7.617	300		999	8.491	210	8.862	330	13.8	12.5		-0.936255	-0.889087		
2/20/2023 1:15:00 PM	0.360	210	8.426	210	29.713	210	82.4	7.96	210	0.57	210	0.45	210	7.81	210	0.425	210			1023.06583	210	48.5	210	142.34	210	78.7	210	186.61	210	12.62	210		999	7.618	300		999	8.494	210	8.862	330	13.8	12.5		-0.936168	-0.889078		
2/20/2023 1:30:00 PM	0.451	210	8.425	210	29.713	210	82.2	7.95	210	0.47	210	0.46	210	7.81	210	0.418	210			1023.06723	210	48.7	210	211.68	210	77.1	210	183.31	210	12.69	210		999	7.616	300		999	8.494	210	8.862	330	13.8	12.5		-0.936279	-0.889108		
2/20/2023 1:45:00 PM	0.552	210	8.425	210	29.713	210	82.3	7.96	210	0.50	210	0.45	210	7.81	210	0.426	210			1023.06745	210	48.9	210	207.76	210	75.7	210	189.40	210	14.33	210		999	7.616	300		999	8.494	210	8.861	330	13.8	12.5		-0.936281	-0.889123		
2/20/2023 2:00:00 PM	0.440	210	8.424	210	29.714	210	82.2	7.95	210	0.52	210	0.45	210	7.81	210	0.426	210			1023.06692	210	49.2	210	137.49	210	75.4	210	185.15	210	10.14	210		999	7.616	300		999	8.494	210	8.861	330	13.8	12.5		-0.936315	-0.889165		
2/20/2023 2:15:00 PM	0.507	210	8.423	210	29.713	210	82.0	7.93	210	0.56	210	0.44	210	7.81	210	0.424	210			1023.06776	210	48.9	210	96.21	210	77.1	210	176.87	210	12.42	210		999	7.614	300		999	8.494	210	8.858	330	13.8	12.5		-0.936396	-0.889295		
2/20/2023 2:30:00 PM	0.477	210	8.421	210	29.713	210	81.9	7.92	210	0.50	210	0.44	210	7.81	210	0.409	210			1023.06784	210	48.2	210	118.71	210	79.6	210	179.23	210	13.14	210		999	7.615	300		999	8.491	210	8.860	330	13.8	12.5		-0.936379	-0.889227		
2/20/2023 2:45:00 PM	0.383	210	8.415	210	29.714	210	82.1	7.94	210	0.54	210	0.45	210	7.81	210	0.411	210			1023.06860	210	48.2	210	175.60	210	79.6	210	177.55	210	12.28	210		999	7.615	300		999	8.489	210	8.860	330	13.8	12.5		-0.936330	-0.889198		
2/20/2023 3:00:00 PM	0.429	210	8.416	210	29.715	210	82.2	7.95	210	0.49	210	0.44	210	7.81	210	0.436	210			1023.06875	210	48.0	210	188.65	210	80.9	210	177.19	210	11.58	210		999	7.615	300		999	8.487	210	8.859	330	13.8	12.5		-0.936334	-0.889244		
2/20/2023 3:15:00 PM	0.497	210	8.416	210	29.715	210	82.5	7.98	210	0.51	210	0.44	210	7.81	210	0.425	210			1023.07017	210	47.8	210	294.67	210	81.7	210	180.42	210	13.96	210		999	7.618	300		999	8.487	210	8.862	330	13.8	12.6		-0.936198	-0.889104		
2/20/2023 3:30:00 PM	0.495	210	8.417	210	29.716	210	82.5	7.98	210	0.46	210	0.44	210	7.81	210	0.431	210			1023.07110	210	47.6	210	363.49	210	82.4	210	177.49	210	12.99	210		999	7.620	300		999	8.488	210	8.865	330	13.8	12.6		-0.936082	-0.888937		
2/20/2023 3:45:00 PM	0.451	210	8.414	210	29.718	210	82.5	7.98	210	0.50	210	0.45	210	7.81	210	0.419	210			1023.07243	210	47.8	210	254.63	210	82.8	210	175.11	210	11.53	210		999	7.622	300		999	8.488	210	8.866	330	13.8	12.6		-0.935974	-0.888863		
