**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
3/12/2023 3:30:00 AM	0.421	210	7.903	210	29.769	210	84.1	8.23	210	0.48	210	0.30	210	7.87	210	0.414	210			1023.18338	210	39.3	210	0.17	330	80.0	210	68.39	210	0.91	210		999	7.579	300		999	7.982	210	8.827	330	13.8	12.7		-0.938478	-0.891570		
3/12/2023 3:45:00 AM	0.424	210	7.908	210	29.771	210	84.0	8.22	210	0.50	210	0.29	210	7.87	210	0.405	210			1023.18364	210	39.7	210	0.17	330	79.2	210	76.43	210	0.76	210		999	7.567	300		999	7.980	210	8.815	330	13.8	12.7		-0.939136	-0.892223		
3/12/2023 4:00:00 AM	0.413	210	7.893	210	29.770	210	83.9	8.21	210	0.43	210	0.30	210	7.87	210	0.394	210			1023.18544	210	39.2	210	0.17	330	77.5	210	74.08	210	1.50	210		999	7.585	300		999	7.977	210	8.832	330	13.8	12.7		-0.938181	-0.891302		
3/12/2023 4:15:00 AM	0.420	210	7.890	210	29.770	210	84.0	8.22	210	0.51	210	0.29	210	7.87	210	0.413	210			1023.18582	210	38.8	210	0.17	330	78.5	210	71.31	210	1.01	210		999	7.625	300		999	7.974	210	8.873	330	13.8	12.7		-0.935923	-0.889015		
3/12/2023 4:30:00 AM	0.416	210	7.909	210	29.773	210	84.1	8.22	210	0.46	210	0.32	210	7.87	210	0.400	210			1023.18554	210	38.8	210	0.17	330	78.5	210	58.56	210	0.44	210		999	7.615	300		999	7.979	210	8.864	330	13.8	12.8		-0.936455	-0.889539		
3/12/2023 4:45:00 AM	0.416	210	7.882	210	29.770	210	84.0	8.22	210	0.48	210	0.29	210	7.87	210	0.413	210			1023.18669	210	38.6	210	0.17	330	78.6	210	57.65	210	0.80	210		999	7.600	300		999	7.982	210	8.848	330	13.8	12.7		-0.937305	-0.890390		
3/12/2023 5:00:00 AM	0.411	210	7.891	210	29.772	210	84.0	8.22	210	0.57	210	0.29	210	7.87	210	0.407	210			1023.18659	210	38.6	210	0.17	330	78.8	210	48.61	210	0.00	210		999	7.597	300		999	7.976	210	8.846	330	13.8	12.8		-0.937462	-0.890544		
3/12/2023 5:15:00 AM	0.412	210	7.907	210	29.775	210	84.0	8.22	210	0.49	210	0.27	210	7.87	210	0.412	210			1023.18699	210	38.8	210	0.17	330	79.0	210	76.14	210	0.90	210		999	7.591	300		999	7.980	210	8.839	330	13.8	12.7		-0.937831	-0.890894		
3/12/2023 5:30:00 AM	0.411	210	7.892	210	29.772	210	84.0	8.22	210	0.50	210	0.30	210	7.87	210	0.397	210			1023.18700	210	38.8	210	0.17	330	78.9	210	57.18	210	1.55	210		999	7.588	300		999	7.979	210	8.836	330	13.8	12.7		-0.937991	-0.891067		
3/12/2023 5:45:00 AM	0.400	210	7.909	210	29.772	210	84.1	8.23	210	0.54	210	0.30	210	7.87	210	0.400	210			1023.18458	210	39.0	210	0.17	330	80.8	210	47.41	210	1.11	210		999	7.629	300		999	7.982	210	8.876	330	13.8	12.7		-0.935674	-0.888820		
3/12/2023 6:00:00 AM	0.406	210	7.911	210	29.773	210	84.2	8.23	210	0.46	210	0.30	210	7.87	210	0.401	210			1023.18521	210	39.0	210	0.26	330	81.9	210	36.28	210	1.81	210		999	7.643	300		999	7.979	210	8.890	330	13.8	12.7		-0.934930	-0.888044		
3/12/2023 6:15:00 AM	0.403	210	7.886	210	29.768	210	84.2	8.24	210	0.52	210	0.28	210	7.87	210	0.417	210			1023.18495	210	38.6	210	2.39	210	81.6	210	48.83	210	1.33	210		999	7.640	300		999	7.976	210	8.888	330	13.8	12.7		-0.935075	-0.888161		
3/12/2023 6:30:00 AM	0.413	210	7.900	210	29.773	210	84.2	8.23	210	0.50	210	0.30	210	7.87	210	0.410	210			1023.18635	210	38.6	210	14.55	210	81.4	210	42.49	210	2.00	210		999	7.638	300		999	7.964	210	8.886	330	13.8	12.7		-0.935178	-0.888310		
3/12/2023 6:45:00 AM	0.404	210	7.887	210	29.773	210	84.1	8.22	210	0.48	210	0.31	210	7.87	210	0.406	210			1023.18794	210	38.4	210	38.77	210	81.5	210	48.36	210	1.01	210		999	7.647	300		999	7.964	210	8.895	330	13.8	12.7		-0.934704	-0.887826		
3/12/2023 7:00:00 AM	0.403	210	7.889	210	29.776	210	84.1	8.22	210	0.44	210	0.30	210	7.87	210	0.406	210			1023.19035	210	39.0	210	70.13	210	81.1	210	58.89	210	1.09	210		999	7.649	300		999	7.968	210	8.897	330	13.8	12.7		-0.934582	-0.887712		
3/12/2023 7:15:00 AM	0.398	210	7.909	210	29.775	210	84.0	8.22	210	0.47	210	0.30	210	7.87	210	0.416	210			1023.18713	210	39.7	210	85.04	210	79.7	210	44.87	210	0.64	210		999	7.640	300		999	7.977	210	8.887	330	13.8	12.8		-0.935104	-0.888248		
3/12/2023 7:30:00 AM	0.412	210	7.915	210	29.775	210	84.1	8.22	210	0.44	210	0.31	210	7.87	210	0.412	210			1023.18623	210	39.9	210	106.63	210	78.3	210	21.53	210	0.84	210		999	7.635	300		999	7.988	210	8.882	330	13.8	12.8		-0.935371	-0.888536		
3/12/2023 7:45:00 AM	0.396	210	7.908	210	29.775	210	84.1	8.22	210	0.48	210	0.30	210	7.87	210	0.405	210			1023.18723	210	40.6	210	105.26	210	77.9	210	54.36	210	0.75	210		999	7.635	300		999	7.985	210	8.881	330	13.8	12.9		-0.935388	-0.888552		
3/12/2023 8:00:00 AM	0.406	210	7.918	210	29.776	210	84.2	8.23	210	0.45	210	0.32	210	7.87	210	0.408	210			1023.18663	210	41.1	210	123.50	210	79.9	210	69.88	210	0.71	210		999	7.634	300		999	7.987	210	8.881	330	13.8	12.8		-0.935407	-0.888571		
3/12/2023 8:15:00 AM	0.403	210	7.920	210	29.775	210	84.4	8.25	210	0.46	210	0.30	210	7.87	210	0.407	210			1023.18504	210	41.7	210	133.55	210	81.9	210	321.16	210	1.52	210		999	7.635	300		999	7.991	210	8.883	330	13.8	12.9		-0.935359	-0.888430		
3/12/2023 8:30:00 AM	0.388	210	7.921	210	29.768	210	84.8	8.29	210	0.48	210	0.30	210	7.87	210	0.411	210			1023.17957	210	41.7	210	120.32	210	83.3	210	342.79	210	2.43	210		999	7.639	300		999	7.988	210	8.887	330	13.8	12.9		-0.935142	-0.888249		
3/12/2023 8:45:00 AM	0.395	210	7.905	210	29.774	210	84.9	8.31	210	0.50	210	0.30	210	7.88	210	0.383	210			1023.18695	210	41.7	210	148.15	210	84.2	210	346.30	210	2.26	210		999	7.640	300		999	7.991	210	8.888	330	13.8	12.8		-0.935064	-0.888169		
3/12/2023 9:00:00 AM	0.397	210	7.923	210	29.764	210	84.9	8.30	210	0.51	210	0.31	210	7.87	210	0.397	210			1023.17618	210	41.9	210	180.65	210	82.9	210	345.04	210	2.20	210		999	7.640	300		999	7.999	210	8.888	330	13.8	13.0		-0.935063	-0.888173		
3/12/2023 9:15:00 AM	0.420	210	7.921	210	29.753	210	84.9	8.30	210	0.50	210	0.29	210	7.87	210	0.379	210			1023.16798	210	42.4	210	169.36	210	83.0	210	299.08	210	1.35	210		999	7.633	300		999	7.994	210	8.880	330	13.8	13.0		-0.935466	-0.888588		
3/12/2023 9:30:00 AM	0.402	210	7.918	210	29.751	210	84.9	8.30	210	0.45	210	0.29	210	7.87	210	0.397	210			1023.16696	210	42.0	210	239.66	210	82.8	210	267.52	210	2.25	210		999	7.638	300		999	7.991	210	8.886	330	13.8	12.9		-0.935173	-0.888269		
3/12/2023 9:45:00 AM	0.397	210	7.931	210	29.753	210	84.8	8.29	210	0.46	210	0.30	210	7.87	210	0.392	210			1023.16617	210	41.7	210	285.74	210	83.0	210	238.95	210	1.71	210		999	7.643	300		999	7.994	210	8.890	330	13.8	13.1		-0.934902	-0.888045		
3/12/2023 10:00:00 AM	0.392	210	7.942	210	29.753	210	84.8	8.29	210	0.41	210	0.29	210	7.87	210	0.392	210			1023.16539	210	41.9	210	330.96	210	82.8	210	252.35	210	1.07	210		999	7.641	300		999	8.006	210	8.888	330	13.8	13.1		-0.935033	-0.888136		
3/12/2023 10:15:00 AM	0.405	210	7.948	210	29.752	210	84.9	8.30	210	0.40	210	0.27	210	7.87	210	0.386	210			1023.16386	210	42.0	210	408.05	210	82.3	210	298.20	210	1.25	210		999	7.641	300		999	8.012	210	8.888	330	13.8	13.2		-0.935005	-0.888099		
3/12/2023 10:30:00 AM	0.394	210	7.966	210	29.752	210	85.1	8.31	210	0.29	210	0.29	210	7.88	210	0.404	210			1023.16103	210	42.4	210	592.46	210	81.5	210	319.75	210	1.47	210		999	7.635	300		999	8.020	210	8.882	330	13.8	13.5		-0.935356	-0.888467		
3/12/2023 10:45:00 AM	0.393	210	8.015	210	29.754	210	85.3	8.33	210	0.28	210	0.26	210	7.88	210	0.407	210			1023.15616	210	42.8	210	568.58	210	81.2	210	330.08	210	1.64	210		999	7.640	300		999	8.044	210	8.886	330	13.8	13.7		-0.935085	-0.888181		
3/12/2023 11:00:00 AM	0.391	210	8.010	210	29.754	210	85.4	8.33	210	0.27	210	0.27	210	7.88	210	0.396	210			1023.15670	210	42.9	210	514.30	210	80.5	210	267.14	210	0.00	210		999	7.639	300		999	8.059	210	8.886	330	13.8	13.7		-0.935111	-0.888186		
3/12/2023 11:15:00 AM	0.397	210	8.056	210	29.759	210	85.4	8.33	210	0.30	210	0.26	210	7.88	210	0.396	210			1023.15393	210	42.9	210	600.23	210	78.4	210	140.82	210	0.70	210		999	7.652	300		999	8.076	210	8.898	330	13.8	14.5		-0.934390	-0.887539		
3/12/2023 11:30:00 AM	0.390	210	8.163	210	29.764	210	85.4	8.30	210	0.25	210	0.24	210	7.88	210	0.403	210			1023.14289	210	44.0	210	567.48	210	76.4	210	126.57	210	0.28	210		999	7.648	300		999	8.127	210	8.894	330	13.8	14.5		-0.934627	-0.887675		
3/12/2023 11:45:00 AM	0.383	210	8.173	210	29.763	210	85.6	8.32	210	0.34	210	0.26	210	7.88	210	0.397	210			1023.14069	210	43.8	210	365.17	210	73.6	210	197.81	210	1.24	210		999	7.642	300		999	8.148	210	8.888	330	13.8	13.6		-0.934926	-0.887996		
3/12/2023 12:00:00 PM	0.392	210	8.133	210	29.756	210	85.6	8.33	210	0.35	210	0.25	210	7.88	210	0.406	210			1023.14087	210	44.0	210	430.90	210	70.5	210	172.02	210	1.76	210		999	7.643	300		999	8.174	210	8.890	330	13.8	13.5		-0.934847	-0.887896		
3/12/2023 12:15:00 PM	0.387	210	8.051	210	29.756	210	85.5	8.33	210	0.38	210	0.24	210	7.88	210	0.407	210			1023.15285	210	45.1	210	313.00	210	73.5	210	184.73	210	2.79	210		999	7.644	300		999	8.133	210	8.891	330	13.8	13.5		-0.934804	-0.887867		
3/12/2023 12:30:00 PM	0.387	210	8.096	210	29.762	210	85.5	8.32	210	0.35	210	0.23	210	7.88	210	0.404	210			1023.15035	210	45.5	210	258.62	210	72.3	210	196.66	210	1.59	210		999	7.640	300		999	8.136	210	8.886	330	13.8	13.4		-0.935040	-0.888103		
3/12/2023 12:45:00 PM	0.385	210	8.071	210	29.758	210	85.5	8.33	210	0.40	210	0.25	210	7.88	210	0.407	210			1023.15112	210	44.7	210	306.71	210	74.5	210	212.02	210	3.06	210		999	7.637	300		999	8.154	210	8.883	330	13.8	13.4		-0.935204	-0.888280		
3/12/2023 1:00:00 PM	0.384	210	8.036	210	29.766	210	85.3	8.32	210	0.37	210	0.27	210	7.87	210	0.402	210			1023.16192	210	44.6	210	331.75	210	76.9	210	205.01	210	2.07	210		999	7.631	300		999	8.121	210	8.877	330	13.8	13.3		-0.935540	-0.888660		
3/12/2023 1:15:00 PM	0.385	210	8.040	210	29.765	210	85.2	8.31	210	0.41	210	0.27	210	7.88	210	0.389	210			1023.16069	210	44.6	210	274.04	210	77.9	210	248.62	210	1.03	210		999	7.626	300		999	8.122	210	8.871	330	13.8	13.4		-0.935857	-0.888973		
3/12/2023 1:30:00 PM	0.373	210	7.990	210	29.752	210	84.8	8.28	210	0.33	210	0.32	210	7.87	210	0.398	210			1023.15724	210	44.9	210	474.96	210	77.8	210	143.89	210	0.00	210		999	7.614	300		999	8.123	210	8.859	330	13.8	13.6		-0.936501	-0.889620		
3/12/2023 1:45:00 PM	0.379	210	7.958	210	29.756	210	84.4	8.24	210	0.41	210	0.34	210	7.87	210	0.387	210			1023.16482	210	45.1	210	333.22	210	75.6	210	286.89	210	0.77	210		999	7.644	300		999	8.064	210	8.889	330	13.8	13.4		-0.934841	-0.888048		
3/12/2023 2:00:00 PM	0.372	210	7.961	210	29.740	210	84.3	8.23	210	0.38	210	0.38	210	7.87	210	0.414	210			1023.15246	210	45.5	210	304.33	210	76.4	210	9.53	210	0.00	210		999	7.661	300		999	8.053	210	8.906	330	13.8	13.4		-0.933870	-0.887054		
3/12/2023 2:15:00 PM	0.377	210	7.960	210	29.746	210	84.1	8.22	210	0.45	210	0.34	210	7.87	210	0.399	210			1023.15731	210	45.1	210	188.08	210	75.8	210	337.45	210	0.22	210		999	7.666	300		999	8.039	210	8.910	330	13.8	13.3		-0.933632	-0.886846		
3/12/2023 2:30:00 PM	0.381	210	7.952	210	29.751	210	84.1	8.22	210	0.46	210	0.35	210	7.87	210	0.400	210			1023.16183	210	44.7	210	158.32	210	76.5	210	314.38	210	0.91	210		999	7.667	300		999	8.030	210	8.912	330	13.8	13.2		-0.933548	-0.886774		
3/12/2023 2:45:00 PM	0.387	210	7.941	210	29.701	210	84.2	8.23	210	0.50	210	0.37	210	7.87	210	0.406	210			1023.12450	210	44.7	210	149.26	210	77.7	210	333.00	210	0.94	210		999	7.667	300		999	8.032	210	8.911	330	13.8	13.2		-0.933567	-0.886788		
3/12/2023 3:00:00 PM	0.378	210	7.947	210	29.693	210	84.2	8.23	210	0.41	210	0.37	210	7.87	210	0.407	210			1023.11762	210	44.6	210	180.24	210	80.8	210	50.81	210	1.42	210		999	7.670	300		999	8.030	210	8.914	330	13.8	13.1		-0.933410	-0.886623		
3/12/2023 3:15:00 PM	0.356	210	7.953	210	29.755	210	83.9	8.20	210	0.50	210	0.39	210	7.87	210	0.409	210			1023.16561	210	44.2	210	131.04	210	81.2	210	286.63	210	0.08	210		999	7.667	300		999	8.026	210	8.912	330	13.8	13.2		-0.933556	-0.886797		
3/12/2023 3:30:00 PM	0.380	210	7.951	210	29.770	210	83.8	8.19	210	0.42	210	0.40	210	7.87	210	0.395	210			1023.17685	210	44.2	210	126.24	210	81.0	210	304.78	210	0.68	210		999	7.666	300		999	8.026	210	8.911	330	13.8	13.1		-0.933601	-0.886835		
3/12/2023 3:45:00 PM	0.359	210	7.953	210	29.766	210	83.6	8.17	210	0.49	210	0.36	210	7.87	210	0.250	210			1023.17391	210	44.2	210	104.01	210	81.6	210	354.89	210	0.87	210		999	7.666	300		999	8.026	210	8.911	330	13.8	13.1		-0.933637	-0.886872		
